0x406e2e, 0x406e35, 0x406e30, 0x406e0d, 5, 0, 1
0x4087cb, 0x4087d2, 0x4087cd, 0x4087b3, 444595, 79, 1
0x405abd, 0x405ac6, 0x405abf, 0x405a5a, 1, 0, 1
0x4057ea, 0x405825, 0x4057ec, 0x4057c8, 2, 0, 0
0x4081b0, 0x408169, 0x4081b2, 0x40814e, 8180480, 1419461, 1
0x406f34, 0x407069, 0x406f3a, 0x406f0f, 1, 0, 1
0x402dbb, 0x402dc2, 0x402dbd, 0x402bdd, 78757471, 462821, 1
0x403183, 0x403109, 0x403185, 0x402bdd, 4992807, 250014, 1
0x4030cf, 0x403055, 0x4030d1, 0x402bdd, 4958045, 250013, 1
0x40342f, 0x402c54, 0x403435, 0x402bdd, 813944, 8259, 0
0x403225, 0x403281, 0x403227, 0x402bdd, 136187, 113827, 1
0x403321, 0x40337d, 0x403323, 0x402bdd, 116339, 33546, 0
0x4046e6, 0x4046ef, 0x4046e8, 0x4046c7, 4042, 1, 0
0x4047c6, 0x404816, 0x4047c8, 0x404707, 4169, 1, 1
0x40484d, 0x404854, 0x40484f, 0x404707, 4169, 0, 1
0x417a41, 0x417a20, 0x417a43, 0x417594, 362511, 43680, 1
0x41775b, 0x417762, 0x41775d, 0x417594, 185756, 36830, 1
0x41783b, 0x417842, 0x41783d, 0x417594, 179617, 34194, 1
0x417a64, 0x417a6a, 0x417a66, 0x417594, 43680, 0, 1
0x417a77, 0x417a11, 0x417a79, 0x417594, 43679, 480, 1
0x41761f, 0x4175c2, 0x417621, 0x417594, 43315, 476, 0
0x4176f5, 0x41765b, 0x4176fb, 0x417594, 43313, 476, 0
0x4179eb, 0x417718, 0x4179f1, 0x417594, 42839, 476, 0
0x407d89, 0x407d6d, 0x407d8b, 0x407d2d, 5119, 20, 1
0x40c3be, 0x40c374, 0x40c3c0, 0x40c358, 5113, 20, 0
0x40718c, 0x407164, 0x40718e, 0x40706b, 6, 1, 0
0x407232, 0x40723a, 0x407234, 0x40706b, 2, 0, 1
0x407893, 0x4078d5, 0x407895, 0x40706b, 2, 0, 1
0x4078e6, 0x4075c1, 0x4078ec, 0x40706b, 2, 1, 1
0x407c65, 0x407c25, 0x407c67, 0x40706b, 2, 1, 1
0x4072ae, 0x4072bc, 0x4072b0, 0x40706b, 1, 0, 0
0x4078f5, 0x407901, 0x4078f7, 0x40706b, 1, 0, 1
0x0, 0x0, 0x0, 0x0, 137754781, 10883912, 0
0x0, 0x0, 0x0, 0x0, 136856955, 897826, 0
0x0, 0x0, 0x0, 0x0, 131402582, 5454373, 0
0x0, 0x0, 0x0, 0x0, 130392261, 1010321, 0
0x0, 0x0, 0x0, 0x0, 127436175, 2956086, 0
0x0, 0x0, 0x0, 0x0, 126792564, 643611, 0
0x0, 0x0, 0x0, 0x0, 124463408, 2329156, 0
0x0, 0x0, 0x0, 0x0, 123978561, 484847, 0
0x0, 0x0, 0x0, 0x0, 122168861, 1809700, 0
0x0, 0x0, 0x0, 0x0, 121673314, 495547, 0
0x0, 0x0, 0x0, 0x0, 120199365, 1473949, 0
0x0, 0x0, 0x0, 0x0, 119672994, 526371, 0
0x0, 0x0, 0x0, 0x0, 118330279, 1342715, 0
0x0, 0x0, 0x0, 0x0, 117860644, 469635, 0
0x0, 0x0, 0x0, 0x0, 116355574, 1505070, 0
0x0, 0x0, 0x0, 0x0, 116355467, 107, 0
0x0, 0x0, 0x0, 0x0, 47984121, 2857006, 0
0x0, 0x0, 0x0, 0x0, 46006002, 1978119, 0
0x0, 0x0, 0x0, 0x0, 44465091, 1540911, 0
0x0, 0x0, 0x0, 0x0, 43012417, 1452674, 0
0x0, 0x0, 0x0, 0x0, 41119275, 1893142, 0
0x0, 0x0, 0x0, 0x0, 39304409, 1814866, 0
0x0, 0x0, 0x0, 0x0, 37649707, 1654702, 0
0x0, 0x0, 0x0, 0x0, 36334229, 1315478, 0
0x0, 0x0, 0x0, 0x0, 35243514, 1090715, 0
0x0, 0x0, 0x0, 0x0, 34486590, 756924, 0
0x0, 0x0, 0x0, 0x0, 33911868, 574722, 0
0x0, 0x0, 0x0, 0x0, 33340091, 571777, 0
0x0, 0x0, 0x0, 0x0, 22311146, 591143, 0
0x0, 0x0, 0x0, 0x0, 20848240, 4170, 0
0x0, 0x0, 0x0, 0x0, 17456580, 20, 0
0x0, 0x0, 0x0, 0x0, 13487076, 524, 0
0x0, 0x0, 0x0, 0x0, 12060799, 10250347, 0
0x0, 0x0, 0x0, 0x0, 11023039, 20, 0
0x0, 0x0, 0x0, 0x0, 10399539, 6593339, 0
0x0, 0x0, 0x0, 0x0, 10187037, 6871365, 0
0x0, 0x0, 0x0, 0x0, 10168026, 6621821, 0
0x0, 0x0, 0x0, 0x0, 9510472, 889067, 0
0x0, 0x0, 0x0, 0x0, 9207578, 960448, 0
0x0, 0x0, 0x0, 0x0, 9121127, 15, 0
0x0, 0x0, 0x0, 0x0, 9118875, 3173652, 0
0x0, 0x0, 0x0, 0x0, 9054715, 1132322, 0
0x0, 0x0, 0x0, 0x0, 9015469, 3045330, 0
0x0, 0x0, 0x0, 0x0, 8335453, 5, 0
0x0, 0x0, 0x0, 0x0, 6761020, 0, 0
0x0, 0x0, 0x0, 0x0, 3045330, 591143, 0
0x0, 0x0, 0x0, 0x0, 1102415, 0, 0
0x0, 0x0, 0x0, 0x0, 591143, 37008, 0
0x0, 0x0, 0x0, 0x0, 525840, 1, 0
0x0, 0x0, 0x0, 0x0, 518233, 72910, 0
0x0, 0x0, 0x0, 0x0, 444576, 20, 0
0x0, 0x0, 0x0, 0x0, 444576, 0, 0
0x0, 0x0, 0x0, 0x0, 387382, 278762, 0
0x0, 0x0, 0x0, 0x0, 374278, 136994, 0
0x0, 0x0, 0x0, 0x0, 119708, 63312, 0
0x0, 0x0, 0x0, 0x0, 119349, 3096, 0
0x0, 0x0, 0x0, 0x0, 111896, 64168, 0
0x0, 0x0, 0x0, 0x0, 110956, 68, 0
0x0, 0x0, 0x0, 0x0, 107436, 8014, 0
0x0, 0x0, 0x0, 0x0, 58877, 10920, 0
0x0, 0x0, 0x0, 0x0, 30793, 12887, 0
0x0, 0x0, 0x0, 0x0, 27739, 17, 0
0x0, 0x0, 0x0, 0x0, 11244, 0, 0
0x0, 0x0, 0x0, 0x0, 11244, 0, 0
0x0, 0x0, 0x0, 0x0, 10333, 587, 0
0x0, 0x0, 0x0, 0x0, 9982, 1760, 0
0x0, 0x0, 0x0, 0x0, 8660, 1820, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4247, 4, 0
0x0, 0x0, 0x0, 0x0, 4246, 0, 0
0x0, 0x0, 0x0, 0x0, 4189, 1, 0
0x0, 0x0, 0x0, 0x0, 4189, 61, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 19, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4151, 95, 0
0x0, 0x0, 0x0, 0x0, 3340, 1780, 0
0x0, 0x0, 0x0, 0x0, 3340, 1780, 0
0x0, 0x0, 0x0, 0x0, 120, 0, 0
0x0, 0x0, 0x0, 0x0, 95, 0, 0
0x0, 0x0, 0x0, 0x0, 34, 25, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 19, 0, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 6, 1, 0
0x0, 0x0, 0x0, 0x0, 5, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 1, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 1, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x417b45, 0x417b06, 0x417b47, 0x417ad8, 69796, 767, 0
0x417b54, 0x417afd, 0x417b56, 0x417ad8, 680, 86, 0
0x408452, 0x408459, 0x408454, 0x408422, 20852409, 19, 1
0x4085cb, 0x4085e2, 0x4085cd, 0x408422, 20848212, 0, 1
0x4023f7, 0x402408, 0x4023f9, 0x4020ad, 148638692, 1056972, 1
0x402820, 0x4023d0, 0x402826, 0x4020ad, 116355574, 0, 1
0x402801, 0x402809, 0x402803, 0x4020ad, 116355442, 132, 1
0x4088ae, 0x408949, 0x4088b4, 0x408884, 3955, 99, 1
0x404456, 0x404422, 0x404458, 0x40424b, 11023058, 0, 1
0x404462, 0x40446e, 0x404464, 0x40424b, 20, 0, 0
0x4042fb, 0x404304, 0x4042fd, 0x40424b, 12, 0, 1
0x404308, 0x404311, 0x40430a, 0x40424b, 12, 0, 1
0x402bbe, 0x402bd7, 0x402bc0, 0x402b87, 483341, 107802, 1
0x4041db, 0x404160, 0x4041dd, 0x403437, 13487599, 4933, 0
0x403f3a, 0x403e9d, 0x403f40, 0x403437, 9113529, 4924, 0
0x40400c, 0x403f6f, 0x404012, 0x403437, 8331331, 4934, 0
0x403a02, 0x4037f0, 0x403a08, 0x403437, 4364143, 20, 1
0x403671, 0x4034e7, 0x403677, 0x403437, 4364143, 20, 1
0x403fc3, 0x403ff9, 0x403fc5, 0x403437, 4318005, 4017453, 1
0x4034c1, 0x40349c, 0x4034c3, 0x403437, 1310739, 20, 1
0x4040c5, 0x40406d, 0x4040c7, 0x403437, 1310719, 5120, 1
0x403e72, 0x403df4, 0x403e74, 0x403437, 1310719, 5120, 1
0x4037c9, 0x40376f, 0x4037cb, 0x403437, 1310719, 20, 1
0x403dca, 0x403c57, 0x403dd0, 0x403437, 1310477, 5120, 0
0x403c19, 0x403b0d, 0x403c1f, 0x403437, 22019, 100, 0
0x403ddf, 0x403deb, 0x403de1, 0x403437, 5120, 0, 0
0x403ac9, 0x403aa2, 0x403acb, 0x403437, 5119, 20, 1
0x404208, 0x403c3c, 0x40420e, 0x403437, 5119, 20, 1
0x4041f1, 0x4041fd, 0x4041f3, 0x403437, 4932, 0, 0
0x40402f, 0x404064, 0x404031, 0x403437, 3807, 0, 1
0x40373d, 0x4036e8, 0x40373f, 0x403437, 679, 20, 1
0x403ae8, 0x403ad2, 0x403aea, 0x403437, 79, 20, 0
0x4036dd, 0x403679, 0x4036df, 0x403437, 23, 20, 1
0x403a93, 0x403a0d, 0x403a99, 0x403437, 23, 20, 1
0x404215, 0x404249, 0x404217, 0x403437, 20, 0, 1
0x403746, 0x403766, 0x403748, 0x403437, 20, 0, 1
0x4028ae, 0x4028b5, 0x4028b0, 0x40282d, 8003686, 425297, 1
0x402998, 0x40299f, 0x40299a, 0x40282d, 7582269, 421418, 1
0x402b6e, 0x402b72, 0x402b70, 0x40282d, 7482406, 0, 1
0x402a82, 0x402a89, 0x402a84, 0x40282d, 7482406, 99863, 1
0x402883, 0x402870, 0x402885, 0x40282d, 946577, 374278, 1
0x402b7f, 0x40288e, 0x402b85, 0x40282d, 946577, 374278, 1
0x405d7a, 0x405d05, 0x405d7c, 0x405b4a, 3, 1, 1
0x405d85, 0x405d92, 0x405d87, 0x405b4a, 1, 0, 1
0x40cd14, 0x40ccfb, 0x40cd16, 0x40c785, 666143, 111024, 1
0x40e5e0, 0x40e5a8, 0x40e5e2, 0x40c785, 666142, 111024, 0
0x40cca6, 0x40ccc4, 0x40cca8, 0x40c785, 111023, 80, 0
0x40cb54, 0x40cb1a, 0x40cb56, 0x40c785, 43679, 480, 1
0x4104b3, 0x4104bf, 0x4104b5, 0x40c785, 27756, 0, 1
0x40fe71, 0x40fdd5, 0x40fe77, 0x40c785, 27755, 20, 0
0x410457, 0x41046b, 0x410459, 0x40c785, 27755, 20, 1
0x41025d, 0x4101f8, 0x41025f, 0x40c785, 27755, 20, 1
0x40c857, 0x40c81e, 0x40c859, 0x40c785, 10919, 120, 1
0x4103d6, 0x410307, 0x4103dc, 0x40c785, 10919, 120, 1
0x40cab4, 0x40ca32, 0x40caba, 0x40c785, 10918, 120, 0
0x40ff7f, 0x40fe9d, 0x40ff85, 0x40c785, 10799, 120, 0
0x40ff3e, 0x40ff75, 0x40ff40, 0x40c785, 10702, 217, 1
0x40e57f, 0x40e523, 0x40e581, 0x40c785, 9383, 1564, 1
0x40cc7b, 0x40cb78, 0x40cc81, 0x40c785, 7279, 80, 1
0x41006f, 0x410038, 0x410071, 0x40c785, 5113, 320, 0
0x410164, 0x410106, 0x410166, 0x40c785, 2553, 160, 0
0x40c966, 0x40c937, 0x40c968, 0x40c785, 1839, 0, 1
0x40e58b, 0x40e500, 0x40e591, 0x40c785, 1563, 68, 0
0x40fc65, 0x40fbf0, 0x40fc67, 0x40c785, 1563, 68, 1
0x40cb60, 0x40cb11, 0x40cb62, 0x40c785, 479, 80, 0
0x40cb06, 0x40caec, 0x40cb08, 0x40c785, 479, 80, 1
0x40fd67, 0x40fcff, 0x40fd69, 0x40c785, 479, 80, 1
0x41198e, 0x4118c3, 0x411994, 0x40c785, 390, 17, 1
0x41016e, 0x4100ec, 0x410174, 0x40c785, 311, 20, 0
0x4100e1, 0x410094, 0x4100e3, 0x40c785, 311, 20, 0
0x410079, 0x410022, 0x41007b, 0x40c785, 219, 20, 0
0x40ff89, 0x40ff95, 0x40ff8b, 0x40c785, 120, 0, 1
0x40cad1, 0x40c91b, 0x40cad7, 0x40c785, 119, 20, 0
0x4103e6, 0x4102b8, 0x4103ec, 0x40c785, 119, 20, 0
0x40fdc7, 0x40fdac, 0x40fdc9, 0x40c785, 119, 20, 1
0x40c861, 0x40c815, 0x40c863, 0x40c785, 119, 20, 0
0x410013, 0x40fe83, 0x410019, 0x40c785, 119, 20, 1
0x40c9ca, 0x40ca29, 0x40c9cc, 0x40c785, 117, 0, 1
0x40ccb9, 0x40fcf6, 0x40ccbf, 0x40c785, 80, 0, 1
0x40fd71, 0x40cae3, 0x40fd77, 0x40c785, 79, 20, 0
0x410184, 0x4101b1, 0x410186, 0x40c785, 20, 0, 1
0x41026f, 0x41029c, 0x410271, 0x40c785, 20, 0, 1
0x410460, 0x4119b0, 0x410466, 0x40c785, 20, 0, 1
0x40c667, 0x40c49e, 0x40c66d, 0x40c3c2, 17456598, 20, 0
0x40c5ee, 0x40c5dd, 0x40c5f0, 0x40c3c2, 2167858, 358744, 1
0x40c593, 0x40c59f, 0x40c595, 0x40c3c2, 669859, 358635, 1
0x40c455, 0x40c430, 0x40c457, 0x40c3c2, 1819, 20, 1
0x40c490, 0x40c46e, 0x40c492, 0x40c3c2, 1779, 20, 1
0x40c6f7, 0x40c703, 0x40c6f9, 0x40c3c2, 58, 20, 1
